mAP,bbox_loss,loss
0.4053,3.1872,4.1321
0.6845,2.6354,3.2759
0.6871,2.2819,2.8950
0.7031,2.1041,2.7052
0.6960,2.1113,2.7570
0.7175,1.8900,2.4323
0.7278,1.9208,2.4443
0.7397,1.7644,2.2695
0.7845,1.4944,1.9225
0.7882,1.4514,1.8737
0.7933,1.4361,1.8412
0.7944,1.4429,1.8451
0.7947,1.4276,1.8294
0.7954,1.4395,1.8407
0.7954,1.4344,1.8303
0.7962,1.4172,1.8115
0.7971,1.4131,1.8083
0.7966,1.4215,1.8167
0.7964,1.4029,1.7994
0.7976,1.4181,1.8146
0.7979,1.4004,1.7953
0.7975,1.4120,1.8142
0.7987,1.4002,1.7939
0.7986,1.4266,1.8199
0.7985,1.4128,1.8094
0.7984,1.4037,1.7971
0.7981,1.4081,1.8004
0.7988,1.4158,1.8098
0.7992,1.3961,1.7856
0.7996,1.3987,1.7907
0.7993,1.3968,1.7878
0.7997,1.4042,1.7968
0.7993,1.3984,1.7895
0.7993,1.3976,1.7823
0.7993,1.3952,1.7882
0.7995,1.3840,1.7757
0.7996,1.3836,1.7767
0.7998,1.3942,1.7854
0.8001,1.3887,1.7768
0.8007,1.4008,1.7907
0.8006,1.3947,1.7842
0.7999,1.3818,1.7715
0.8007,1.3967,1.7840
0.8012,1.3868,1.7727
0.8001,1.3937,1.7799
0.8004,1.3886,1.7776
0.8011,1.3996,1.7869
0.8012,1.3918,1.7788
0.8012,1.3881,1.7744
0.8011,1.3867,1.7728
